,states
0,Alabama
1,Colorado
2,Connecticut
3,Delaware
4,Idaho
5,Illinois
6,Indiana
7,Iowa
8,Kentucky
9,Maine
10,Maryland
11,Massachusetts
12,Minnesota
13,Montana
14,Nebraska
15,New Hampshire
16,New Jersey
17,New Mexico
18,New York
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Rhode Island
24,South Carolina
25,South Dakota
26,Utah
27,Vermont
28,Virginia
29,West Virginia
30,Wisconsin
31,Wyoming
